576294284510416896,Pak_JK,Tiba di Tokyo utk menghadiri Pembukaan Third United National World Conferense on Disaster Risk Reduction (WCDRR) http://t.co/85PI8hIBms,2015-03-13 15:10:39,null
575467423437971456,Pak_JK,Perbankan Syariah harus menarik dan tetap berprinsip pada akidah, ibadah, dan muamalah http://t.co/0kdeBa2neB http://t.co/jtDOVQA3a7,2015-03-11 08:25:00,null
575466365215117312,Pak_JK,RT @setwapres: Hentikan kriminalisasi kpd siapapun, arahan @Pak_JK dan Tim 9 http://t.co/ImjYatU2el http://t.co/GjXcLlRSku,2015-03-11 08:20:47,null
575163141237014528,Pak_JK,Inna lillaahi wa inna ilaihi Raji'un,turut berbelasungkawa atas wafatnya Bpk Amiruddin Maula. Semoga amal baktinya diterima disisi Allah SWT,2015-03-10 12:15:53,null
574067992415223808,Pak_JK,Menjadi pembicara utama di seminar Pra Muktamar Muhammadiyah di Aula  Pascasarjana UMY http://t.co/dJh7N1TDjX,2015-03-07 11:44:09,null
574067521818468352,Pak_JK,Peresmian Gd Pasca sarjana Univ Muhammadiyah Yogyakarta http://t.co/JGI337RufW,2015-03-07 11:42:17,null
573324741269852161,Pak_JK,Sidang kabinet terbatas di Kantor Presiden 5/3 http://t.co/outddkrzVK,2015-03-05 10:30:44,null
573297702550687744,Pak_JK,Menerima tim Mapala UNHAS http://t.co/p8q7G99sWz http://t.co/LnZILkaOs0,2015-03-05 08:43:18,null
572700408029700096,Pak_JK,Pendeklarasian Program Nasional Pembaruan Hukum SDA dan LH http://t.co/KfAXiJMJ5X http://t.co/vMEDbY6XIY,2015-03-03 17:09:52,null
571558574071005185,Pak_JK,Menghadiri pengukuhan Guru Besar Fakultas Ilmu Sosial dan Politik UNHAS  Prof. Dr. Muhammad SIP, MSi di Makassar http://t.co/692qooWDRl,2015-02-28 13:32:37,null
571555378497904641,Pak_JK,Meninjau stok beras di Gudang Bulog Makassar http://t.co/oujwl3SM8H,2015-02-28 13:19:55,null
571498088407306240,Pak_JK,RT @achoyreedho: Ada wapres @Pak_JK gub. Sulsel SYL & walikota Mks @DP_dannypomanto di Bosowa Foodfest @ tribun karebosi. @SupirPete2 http:…,2015-02-28 09:32:16,null
571483775730778113,Pak_JK,RT @setwapres: Bangun daerah otonomi, @Pak_JK harapkan para Gubernur terus berinovasi dan berkreativitas http://t.co/2bjQJBNONY http://t.co…,2015-02-28 08:35:24,null
571483649075376128,Pak_JK,Peresmian gedung JK Center di FT Kampus II Unhas di Gowa, Jumat sore 27 Februari 2015. http://t.co/1jRp6GCUaw http://t.co/x8zZTwxhwu,2015-02-28 08:34:54,null
571137423729516544,Pak_JK,Penyampaian SPT Tahunan 2014 di Wisma Kalla Makassar 27/2 http://t.co/RFdFvBJEoz,2015-02-27 09:39:07,null
570892019091902464,Pak_JK,Alhamdulillah tiba di Ambon http://t.co/e6jScISNib,2015-02-26 17:23:58,null
570891674718580737,Pak_JK,Meresmikan Gedung PMI Papua http://t.co/G1rqvTYChr http://t.co/VxxH1vaZ9n,2015-02-26 17:22:36,null
570789938679033856,Pak_JK,Memberi pengarahan di depan Kader-kader KNPI di Jayapura http://t.co/TerANVVyOp,2015-02-26 10:38:20,null
570616426588827649,Pak_JK,Aamiin, terima kasih “@imambuu: @Pak_JK semoga diberikan kelancaran pak”,2015-02-25 23:08:52,null
570615598561906688,Pak_JK,Menuju ke Jayapura, Papua dr Pangkalan Udara Halim Perdanakusuma dalam rangka kunjungan kerja. ✈️,2015-02-25 23:05:34,null
570579392901963776,Pak_JK,Memberi sambutan dalam Acara Sustainable Business Awards (SBA) Indonesia di Jakarta http://t.co/ZapB4cHC60,2015-02-25 20:41:42,null
570057981422743552,Pak_JK,Meninjau Pelayanan Terpadu Satu Pintu Pusat BKPM http://t.co/ZYYThrq37b,2015-02-24 10:09:48,null
570047581222338560,Pak_JK,Membuka Sarasehan Basarnas 2015 http://t.co/S1r7CQrZuB,2015-02-24 09:28:28,null
570047438439886849,Pak_JK,Tadi saat memberi sambutan saya bertanya knp nelayan yg menemukan pertama Air Asia, tdk diberi penghargaan?Padahal peran mrk sangat penting,2015-02-24 09:27:54,null
570046181746679808,Pak_JK,Penyerahan Penghargaan kepada Potensi SAR yg membantu pencarian pesawat Air Asia di Kantor Basarnas 24/2 http://t.co/zlrE7j0TXd,2015-02-24 09:22:55,null
569872492958846976,Pak_JK,Salurkan raskin segera krn memang hak rakyat. Prosedur tidak bisa menghalangi kewajiban http://t.co/N231vKtAV9 http://t.co/6BQZtviqhU,2015-02-23 21:52:44,null
569792910821978112,Pak_JK,Menerima pengurus organinsasi Gabungan Perusahaan Jasa Konstruksi Indonesia (GAPEKSINDO) http://t.co/glheM6Xv14 http://t.co/Gtfo7SD05v,2015-02-23 16:36:30,null
569757783005868034,Pak_JK,3. Saya telah meminta Kapolda Sulselbar dan pihak terkait agar menuntaskan kasus tersebut agar masyarakat kembali merasa aman dan nyaman,2015-02-23 14:16:55,null
569757631755067392,Pak_JK,2. Pagi tadi saya sudah berbicara dgn Kapolda Sulselbar sekitar Pkl 9.45 wib ttng masalah tersebut,2015-02-23 14:16:19,null
569757558426116096,Pak_JK,1.Menanggapi Petisi Warga Makassar yg dikirimkan kepada saya terkait  maraknya aksi kekerasan oleh Anggota Genk Motor di Makassar.,2015-02-23 14:16:02,null
569420735103369216,Pak_JK,Semoga lekas ditemukan dalam keadaan sehat dan selamat, aamiin . @fahiraidris @mirasahid @agus_antara @ajengkol @setwapres,2015-02-22 15:57:37,null
568588171216187392,Pak_JK,Berbincang usai pelantikan Pimpinan KPK http://t.co/rQnXlEeTIt,2015-02-20 08:49:18,null
568552678202060800,Pak_JK,Kmrn siang menerima telp dr Menlu Australia yg melakukan klarifikasi terkait bantuan Tsunami dan eksekusi Bali Nine http://t.co/AqEia2QGDw,2015-02-20 06:28:16,null
568289486448119808,Pak_JK,Innalilahi wa innailaihi rajiun,turut berduka cita atas wafatnya Bpk H Mudaffar Sjah Anggota DPD RI /Sultan Ternate,semoga Khusnul khotimah,2015-02-19 13:02:26,null
